Date,Désignation,Titre,Crédit (€),ISIN,Débit (€),QUANTITE,COURS,BRUT,COURTAGE,TVA,Heure Execution,Lieu,PX UN.BRUT,COMMISSION,CRED. IMPOT,ENTREE DE
19/12/2023,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,50,,,,,,,,,,,,,
19/12/2023,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,1000,,,,,,,,,,,,,
19/12/2023,TAXE TRANSACT FINANCIERES,TTF,,FR0000120073,1.59,,,,,,,,,,,
19/12/2023,TAXE TRANSACT FINANCIERES,TTF,,FR0000120628,0.44,,,,,,,,,,,
19/12/2023,TAXE TRANSACT FINANCIERES,TTF,,FR0010208488,0.24,,,,,,,,,,,
19/12/2023,ACHAT COMPTANT,AIR LIQUIDE,,FR0000120073,533.26,3,177.12,531.36,1.9,0,15:20:12,MORGAN STANLEY EUROPE S.E. - SYSTEMA,,,,
19/12/2023,ACHAT COMPTANT,AXA,,FR0000120628,147.08,5,29.27,146.35,0.73,0,15:22:13,MORGAN STANLEY EUROPE S.E. - SYSTEMA,,,,
19/12/2023,ACHAT COMPTANT,ENGIE,,FR0010208488,80.84,5,16.088,80.44,0.4,0,15:24:49,MORGAN STANLEY EUROPE S.E. - SYSTEMA,,,,
19/12/2023,ACHAT COMPTANT,AIRBUS,,NL0000235190,279.75,2,139.38,278.76,0.99,0,15:21:22,MORGAN STANLEY EUROPE S.E. - SYSTEMA,,,,
22/12/2023,ACHAT COMPTANT,BNP PARIBAS ACT.A,,FR0000131104,127.09,2,63.23,126.46,0.63,0,12:09:58,MORGAN STANLEY EUROPE S.E. - SYSTEMA,,,,
22/12/2023,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,100,,,,,,,,,,,,,
22/12/2023,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,30,,,,,,,,,,,,,
22/12/2023,TAXE TRANSACT FINANCIERES,TTF,,FR0000131104,0.38,,,,,,,,,,,
05/01/2024,ACHAT COMPTANT,SANOFI,,FR0000120578,93.95,1,93.48,93.48,0.47,0,17:35:02,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
